,nspace,mu_expec,dt_expec,mu_pos,dt_pos,chi_r,chi_g,chi_i
0,0.2,0.4477611940298508,50.0321,0.9921058329154687,16.18647091829342,80.09580837000946,131.03290283006262,68.98434103889153
1,0.8,0.4477611940298508,50.0321,0.9920982879233741,16.170705968621267,80.13326209006286,131.15093756257875,68.9617592312583
2,0.9,0.4477611940298508,50.0321,0.9920604229925446,16.177267630478163,80.11017736549275,131.1323014950797,68.94901709806962
3,1.0,0.4477611940298508,50.0321,0.9920519032485408,16.181014447733173,80.12314531790764,131.09052331571564,68.98973600496683
4,3.0,0.4477611940298508,50.0321,0.9919818024748918,16.175313207104825,80.13345272295004,131.11994271650903,68.92840406412142
5,10.0,0.4477611940298508,50.0321,0.9920982404061518,16.18202268531231,80.15779349327232,131.0615346359975,69.01554441283315
6,20.0,0.4477611940298508,50.0321,0.9919720825584951,16.182893737753485,80.14806677137594,131.07368832291266,68.99098467188995
7,30.0,0.4477611940298508,50.0321,0.9918889510909407,16.16812277422163,80.10523621962469,131.21350108933285,68.87267897845163
8,60.0,0.4477611940298508,50.0321,0.9919078636684375,16.179790498861326,80.13151287456645,131.07818857420057,68.96029658260055
