,nspace,mu_expec,dt_expec,mu_pos,dt_pos,chi_r,chi_g,chi_i
0,0.2,0.4477611940298508,50.0321,0.9931225167151703,16.17234403634777,134.93192331155416,203.21243075607188,77.18644950907496
1,0.8,0.4477611940298508,50.0321,0.9932224352252789,16.170249660490242,134.8968552588157,203.84797774127048,76.76843095834083
2,0.9,0.4477611940298508,50.0321,0.9934148224115346,16.170020778541613,134.87329796542576,203.87883477071165,76.73730252494204
3,1.0,0.4477611940298508,50.0321,0.9935221665836312,16.164965256415663,134.8577642026284,204.01249524267627,76.77189988865484
4,3.0,0.4477611940298508,50.0321,0.9935109235421589,16.16125025805405,134.86338754952195,204.91109176552266,77.386785477115
5,10.0,0.4477611940298508,50.0321,0.9939234358954733,16.139271023650306,134.89304958276108,206.320492527454,79.24815918097539
6,20.0,0.4477611940298508,50.0321,0.9938837989834024,16.133188626589973,134.99996391073188,207.43986624261646,81.24070062825386
7,30.0,0.4477611940298508,50.0321,0.9940062608940446,16.125999657599912,135.04595968104826,208.16941007095147,83.27123905239446
8,60.0,0.4477611940298508,50.0321,0.9942050358634802,16.107806467907285,135.19645023786754,209.79779105025727,89.0383261603086
